Modul;Frage;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Beschreibe M. biceps femoris;zweiköpfiger Oberschenkelmuskel rückseitig;2 Köpfe;U: Sitzbeinhöcker;A: Wadenbeinköpfchen;Flexion/Beugung Kniegelenk (langer Kopf);Extension/Streckung Hüftgelenk (beide Köpfe);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Beschreibe M. latissimus dorsi;breitester Rückenmuskel;Grossflächiger, einheitlicher Muskel ohne Köpfe;U: Dornfortsätze 7. - 12. Brustwirbel, alle Lendenwirbel, Darmbeinkamm (crista iliaca), Lendenapneurose, Kreuzbein (os sacrum);A: Vorderseite Oberarmknochen (M. humerus);F: Adduktion, Retroversion, Innenrotation im Schultergelenk (SG);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Beschreibe M. glutaeus maximus? ;grosser Gesässmuskel;3 Köpfe;U: Kreuzbein (os sacrum), Darmbeinschaufel (Ala ossis illii), Steissbein (Os coccygis);A: Sehnenplatte seitlicher Oberschenkel (Tractos iliotibialis), Oberschenkelknochen (Femur);F: Abduktion / Extension (Abspreizen des Beines), Aussenrotation im Hüftgelenk, Streckung im Hüftgelenk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Beschreibe M. deltoideus;Deltamuskel;3 Köpfe;U: Schlüsselbein, Schulterhöhe, Schulterblattgräte;A: Deltarauhigkeit des Oberarmknochens, oben, aussen;F: je nach Muskelanteil, heben und nach vorne führen des Armes, abspreizen des Armes, nach hinten führen des Armes;Markanter dreieckger Muskel, der das Schultergelenk formt und massgeblich zu dessen Stabilität und Beweglichkeit beiträgt.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Beschreibe M. biceps brachii;zweiköpfiger Oberarmmuskel;2 Köpfe (kurzer und langer);"U: Schulterblatt; Höckerchen oberhalb der Schultergelenkspfanne am Schulterblatt (caput longum), Rabenschnabelfortsatz (processus coracoideus der  Scapula) ";A: Speichenrauhigkeit (Radius);F: Beugung im Ellbogengelenk, nach vorne Führen  Arm, Innenrotation Arm, Aussenrotation Unterarm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Beschreibe M. triceps brachii;dreiköpfiger Oberarmmuskel;3 Köpfe (zwei Köpfe am Oberarm und 1 Kopf am Schulterblatt);U: Höckerchen unterhalb Schultergelenkspfanne (Tuberculum infraglenoidale des Scapula), zweimal Hinterfläche des Humerus (oberhalb Radialrinne);A: Hackenfortsatz der Elle (Olecranon);F: Streckung im Ellbogengelenk (Extension), Retroversion des Armes (nach hinten führen);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Beschreibe M. pectoralis major;;grosser Brustmuskel;U: Schlüsselbein (Clavicula), Brustbein (Sternum), 2.-7. Rippenknorpel, vorderes Blatt der Rectusscheide (Sehnenplatte im vorderen Rumpfbereich);A: Oberarmknochen (Humerus);F: Adduktion (heranziehen des Armes), Innenrotation, Anteversion im Schultergelenk (nach vorne führen des Armes);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Beschreibe M. obliquus externus;Schräger äusserer Bauchmuskel;;U: 5.-12. Rippe;A: Bauchmuskelapneurose (Bauch-Sehnenplatte), Darmbein (Ilium);F: bei einseitiger Kontraktion: Rotation, Rotationskontrolle, Seitneigung;F bei beidseitiger Kontraktion: Atemhilfsmuskel (unterstützt M. rectus abdominalis bei Flexion der BWS);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Beschreibe M. obliquus internus abdominis;Schräger innerer Bauchmuskel;;U: Darmbeinkamm, Sehnenzug im Lendenwirbelsäulenbereich;A: 9.-12. Rippe, Sehnenzug im vorderen Rumpf;F: Beugen des Rumpfes, drehen des Rumpfes zu gleichen Seite, Seitneigung des Rumpfes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Beschreibe M. rectus abdominis;gerader Bauchmuskel;Sixpack', M wird durch 3 oder 4 Zwischensehnen unterteilt;U: 5.-7. Rippenknorpel, Schwertfortsatz des Brustbeins (Sternum);A: Schambein (os pubis);F: Hauptfunktion ist die Flexion der Wirbelsäule (Rumpfbeugung);langer, paariger Muskel an der vorderen Bauchwand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Beschreibe M. trapecius/ aufsteigender Anteil;Trapez- oder Kapuzenmuskel;;"U: aufsteigender Anteil; 4.-12. Brustwirbel";A: Schulterblattgräte (Spinae scapulae), Schulterhöhe (Acromion);F: Retraktion, Depression der Schulterblätter (Bewegung der Schulterblätter nach hinten und nach unten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Beschreibe M. rectus femoris;einer der vier Oberschenkelmuskeln (Quadriceps);;U: 2 Ursprünge unterer Darmbeinstachel (Spina iliaca anterior inferior, oberer Rand der Hüftgelenkspfanne (Acetabulum);A: Schienbein (Tibia) über die Patellasehne, befestigt an Tuberositas tibiae;F: Beugung im Hürftgelenk (Flexion), Streckung im Kniegelenk (Extension);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Beschreibe M. triceps surae. Welche Muskeln sind zugehörig?;Wadenmuskel;3 Köpfe;M. gastrocnemius;M. gastrocnemius;M. Soleus;kräftiger dreiköpfiger Wadenmuskel an der Rückseite des Unterschenkels;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Beschreibe M. gastrocnemius und M. soleus;zweibäuchiger oberflächlicher Wadenmuskel;Hauptmuskel der Wade;U: Oberschenkelknochen (Femur), Schienbein hinten (Tibia);A: Fersenbein (Calcaneus) über die Achillessehne;F: Beugung (Flexion) im Kniegelenk, Beugung im Fussgelenk (Plantarflexion), Aussenrotation (Supination) im Fussgelenk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Beschreibe M. Ischios. Welche Muskeln sind zugehörig? ;;M.biceps femoris;M. semitendinosus;M. semimembranosus;U: Sitzbeinhöcker (Caput longum des Tuber ischiadicum), Oberschenkel hinten(Femur am caput breve);"A: Schienbein: M. emitendinosus und M. semimembranosus; Wadenbeiköpfchen (Caput fibulae): M. biceps femoris";"F: Aussenrotation (Extension) im Hüftgelenk; alle 3 bewirken Beugung (Flexion) im Kniegelenk; Semis: Innenrotation im flektierten Kniegelenk; bi.f.:Aussenrotation im flektierten Kniegelenk";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Beschreibe M. erector spinae;;Rückenstrecker mit 3 Hauptsäulen;M. iliocostalis;M. longissimus;M. spinalis;U:Sacrum/Kreuzbein;A: Halswirbelsäule;F: Streckung im Rumpf und Streckung des Rückens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Nenne alle Bezeichungen zur Skizze Hüftgelenk;Hüftgelenkspfanne;Hüftgelenkkopf;Schenkelhals;Gelenkkapsel;Gelenkspalt;Gelenkknorpel;(Spongiosa);(Compacta);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Nenne alle Bezeichnungen zur Skizze Knie;Gelenkpfanne;Gelenkkopf;Gelenkknorpel;Gelenkkapsel;Gelenkspalt;Kniescheibe (Patella) und Patellasehne;Kreuz- Seitenbänder;Meniskus / zwei Menisken;Schleimbeutel;(Periost/Knochenhaut);(Spongiosa/Schwammknochen, blutbildenes Knochenmark);(Compacta/harte Knochensubstanz direkt unter Periost);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Nenne alle Bezeichnungen zur Skizze Wirbel;Wirbelkörper;oberer Gelenkfortsatz;unterer Gelenkfortsatz;Dornfortsatz/Processus spinosus;Querfortsatz/ Processus transversus;Rippenfortsatz ( Processus costalis);Wirbelkanal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Welche Arten von Muskeln haben mehrere Köpfe? ;nur Muskeln mit mehreren getrennten Ursprüngen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Nenne alle Bezeichnungen für Anteil Muskelaufbau bezogen auf den Muskel;Knochen;Sehne;Muskel;Muskelfaserbündel;Muskelfasern mit Zellen und Zellkernen;Neurosmukuläre Endplatten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Nenne alle nervenbezogenen Anteile der Muskelinnervation;Rückenmark;Soma eines Motoneurons (Nervenzelle);Neuron (Nerv);Motorische Einheiten (1,2,3…);Axon eines Motoneurons;(Neuromuskuläre Endplatten);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was ist eine motorische Einheit?;Die kleinste funktionelle Einheit des neuromuskulären Systems, bestehend aus Motoneuron (im Rückenmark) und allen von diesem Neuron innervierten (angesteuerten) Muskelfasern;Ein einziges Motoneuron kann wenige bis tausende Fasern steuern.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was ist ein Sarkomer?;Die kleinste kontraktile Einheit in einer Skelettmuskelfaser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Nenne die Bezeichungen der Anteile eines Sarkomers;Sarkomer;Myofibrille;Z-Filament;Aktin-Filament;Myosin-Filament;Myosinschwanz;Myosinköpfchen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was ist Anatomie?;Lehre / Wissenschaft des Körperbaus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was ist Physiologie? ;Lehre / Wissenschaft der Körperfunktionen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;In welche Bereiche lässt sich der menschliche Bewegungsapparat aufteilen?;aktiver und passiver Bewegungsapparat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Welche Elemente bilden den passiven Bewegungsapparat?;Knochen;Knorpel;Gelenkstrukturen (Gelenkkapsel, Bänder);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Welche Elemente bilden den aktiven Bewegungsapparat?;Muskeln;Hilfseinrichtungen der Kraftübertragung ( Sehnen, Sehnenscheiden, Schleimbeutel);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was sind Gelenke?;Mehr oder weniger bewegliche Verbindungen zwischen zwei oder mehreren Knochen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;In welche zwei Kategorien lassen sich die Gelenke grob einteilen;Diarthrosen (echte Gelenke);Synarthrosen (unechte Gelenke);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was ist das Achsenskelett?;Schädel;Wirbelsäule ;Brustkorb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was ist das Extremitätenskelett?;Schultergürtel;obere Extremitäten;Beckengürtel;untere Exremitäten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Nenne die Bezeichungen der Anteile eines Knochens;Diaphyse;proximale Epipyhse;distale Epipyhse;knöcherne Epiphysenlinie;Gelenkknorpel;Apophyse (knöcherner Vorsprung für Ansatz Bänder, Sehnen);Periost (Knochenhaut);Compacta (Kompaktknochen);Spongiosa (mit rotem blutbildenden Knochenmark);Markhöhle mit Fettmark;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was bedeutet Periost?;Knochenhaut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Welches sind die Merkmale und Aufgaben des Periost?;gut durchblutet;gut innerviert;Schmerz- und Verletzungsempfindlich;baut mit Hilfe von Knochenzellen Knochengewebe auf;ummantelt den Knochen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Welche Arten von Knochenmark können unterschieden werden?;gelbes Knochenmark (96% Fett, liegt im Knochenhohlraum);rotes Knochenmark (liegt in der Spongiosa, hauptblutbildendes Organ);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Welches ist das hauptblutbildende Organ des Körpers?;rotes Knochenmark in der Spongiosa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was ist die Diaphyse?;Schaft des Röhrenknochens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Woraus besteht die Diaphyse?;Knochenhaut (Periost);stabiles Rohr (Compacta);gelbes Knochenmark;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was ist eine Epiphyse?;Knochenende eines Röhrenknochens ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Woraus besteht die Epiphyse hauptsächlich?;Spongiosa und einem Knorpelüberzug (hyaliner Knorpel);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was ist die Spongiosa?;Schwammartiges Gerüst aus Knochenbälkchen in den Epiphysen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was ist die Epiphysenfuge?;Hyaliner Knorpel zwischen Diaphyse und Epiphyse;Verantwortlich für das Längenwachstum des Röhrenlnochens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was sind Osteozyten?;Knochenzellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Nenne die knochenumbauenden Elemente;Osteoblasten (Bauen Knochen auf);Osteklasten (bauen Knochen ab);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Woraus besteht das Knochengewebe?;30% organische Bestandteile ;60% anorganische Bestandteile;10% Wasser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Welches sind die organischen Bestandteile im Knochengewebe?;95% Kollagenfasern plus Proteine und Fette;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;In welchen Lebensmitteln finde ich natürliches Kollagen?;Hülsenfrüchte;Getreideprodukte;Nüsse ;Samen;Fleischsorten mit hohem Bindegewebsanteil, Fisch und Eier;zusätzlich Zitrusfrüchte, hoher Vitamin C Gehalt, wichtig für die Kollagensynthese, hilft Aminosäuren sich zu Kollagen zu verbinden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Wofür sind die organischen Bestandteile des Knochens?;leicht elastische Grundstruktur;für Strukturanpassung bei wiederholt einwirkenden Belastungen (Neuausrichtung);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Welches sind die anorganischen Bestandteile im Knochengewebe?;85% Kalziumphosphat;bis zu 10% Kalziumcarbonat;Magnesium;Kalium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
